,trial,set,rel,t1,t2,p1,p2,list,prime,target,target.len,target.freq,response,time,participant,list,item
6069,311,m,r,m,p074,m,t074,l2,smoker,habit,5,3839,word,467,23,3,mp074
,,,,,,,,,,,,,,,,,
6070,312,m,n,n,t073,n,p073,l2,carburetor,subsetunt,9,,nonword,719,23,3,nt073
,,,,,,,,,,,,,,,,,
6071,313,m,n,n,t192,n,p192,l2,cigarette,pasdy,5,,nonword,546,23,3,nt192
,,,,,,,,,,,,,,,,,
6072,314,m,u,u,t057,u,p057,l2,battleground,anxiety,7,3091,word,450,23,3,ut057
,,,,,,,,,,,,,,,,,
6073,315,m,r,m,p055,m,t055,l2,guide,tourist,7,3456,word,467,23,3,mp055
,,,,,,,,,,,,,,,,,
6074,316,m,u,u,t055,u,p055,l2,downtown,relief,6,6605,word,644,23,3,ut055
,,,,,,,,,,,,,,,,,
6075,317,m,n,n,t133,n,p133,l2,fin,bleng,5,,nonword,435,23,3,nt133
,,,,,,,,,,,,,,,,,
6076,318,m,n,n,t139,n,p139,l2,pen,wompt,5,,nonword,748,23,3,nt139
,,,,,,,,,,,,,,,,,
6077,319,m,u,u,t062,u,p062,l2,mall,harm,4,2255,word,660,23,3,ut062
,,,,,,,,,,,,,,,,,
6078,320,m,u,u,t092,u,p092,l2,baby,attitude,8,10619,word,478,23,3,ut092
,,,,,,,,,,,,,,,,,
6079,321,m,u,u,t061,u,p061,l2,clearance,adolescence,11,455,word,534,23,3,ut061
,,,,,,,,,,,,,,,,,
6080,322,m,n,n,t123,n,p123,l2,kettle,nounge,6,,nonword,621,23,3,nt123
,,,,,,,,,,,,,,,,,
6081,323,m,u,u,t100,u,p100,l2,reunion,thought,7,13383,word,396,23,3,ut100
,,,,,,,,,,,,,,,,,
6082,324,m,n,n,t116,n,p116,l2,suitcase,dexi,4,,nonword,540,23,3,nt116
,,,,,,,,,,,,,,,,,
6083,325,m,r,m,p044,m,t044,l2,performer,hair,4,14128,word,422,23,3,mp044
,,,,,,,,,,,,,,,,,
6084,326,m,u,m,p003,m,t002,l2,detective,witness,7,3246,word,420,23,3,mp003
,,,,,,,,,,,,,,,,,
6085,327,m,u,m,p005,m,t004,l2,general,butter,6,2064,word,374,23,3,mp005
,,,,,,,,,,,,,,,,,
6086,328,m,u,m,p032,m,t031,l2,carpenter,frisbee,7,27,word,475,23,3,mp032
,,,,,,,,,,,,,,,,,
6087,329,m,n,n,t099,n,p099,l2,hammer,cammern,7,,nonword,613,23,3,nt099
,,,,,,,,,,,,,,,,,
6088,330,m,u,m,p002,m,t001,l2,attorney,dough,5,323,nonword,658,23,3,mp002
,,,,,,,,,,,,,,,,,
6089,331,m,n,n,t026,n,p026,l2,root,mawonnaise,10,,nonword,784,23,3,nt026
,,,,,,,,,,,,,,,,,
6090,332,m,u,m,p013,m,t012,l2,soldier,pan,3,2130,word,372,23,3,mp013
,,,,,,,,,,,,,,,,,
6091,333,m,n,n,t092,n,p092,l2,tray,feap,4,,nonword,851,23,3,nt092
,,,,,,,,,,,,,,,,,
6092,334,m,n,n,t022,n,p022,l2,mirror,smair,5,,nonword,759,23,3,nt022
,,,,,,,,,,,,,,,,,
6093,335,m,n,n,t059,n,p059,l2,toilet,feny,4,,nonword,653,23,3,nt059
,,,,,,,,,,,,,,,,,
6094,336,m,u,m,p020,m,t019,l2,fugitive,radio,5,9036,word,405,23,3,mp020
,,,,,,,,,,,,,,,,,
6095,337,m,u,m,p023,m,t022,l2,photographer,truck,5,1738,word,434,23,3,mp023
,,,,,,,,,,,,,,,,,
6096,338,m,u,u,t044,u,p044,l2,leopard,kindness,8,706,word,383,23,3,ut044
,,,,,,,,,,,,,,,,,
6097,339,m,n,n,t115,n,p115,l2,fire,caltus,6,,word,603,23,3,nt115
,,,,,,,,,,,,,,,,,
6098,340,m,u,u,t071,u,p071,l2,caribou,dignity,7,1276,word,711,23,3,ut071
,,,,,,,,,,,,,,,,,
6099,341,m,n,n,t164,n,p164,l2,harness,lipperdom,9,,nonword,781,23,3,nt164
,,,,,,,,,,,,,,,,,
6100,342,m,u,u,t098,u,p098,l2,pebble,intelligence,12,3437,word,475,23,3,ut098
,,,,,,,,,,,,,,,,,
6101,343,m,n,n,t142,n,p142,l2,rhubarb,pait,4,,nonword,662,23,3,nt142
,,,,,,,,,,,,,,,,,
6102,344,m,n,n,t141,n,p141,l2,dove,plinge,6,,nonword,471,23,3,nt141
,,,,,,,,,,,,,,,,,
6103,345,m,n,n,t122,n,p122,l2,broadcast,spoble,6,,word,490,23,3,nt122
,,,,,,,,,,,,,,,,,
6104,346,m,n,n,t132,n,p132,l2,bathtub,bintert,7,,nonword,666,23,3,nt132
,,,,,,,,,,,,,,,,,
6105,347,m,u,u,t049,u,p049,l2,storage,menu,4,1999,word,462,23,3,ut049
,,,,,,,,,,,,,,,,,
6106,348,m,n,n,t190,n,p190,l2,bridge,ornalence,9,,nonword,591,23,3,nt190
,,,,,,,,,,,,,,,,,
6107,349,m,n,n,t101,n,p101,l2,cave,glite,5,,nonword,699,23,3,nt101
,,,,,,,,,,,,,,,,,
6108,350,m,n,n,t104,n,p104,l2,laboratory,kutten,6,,nonword,640,23,3,nt104
,,,,,,,,,,,,,,,,,
6109,351,m,u,u,t080,u,p080,l2,anniversary,research,8,25538,word,419,23,3,ut080
,,,,,,,,,,,,,,,,,
6110,352,m,n,n,t025,n,p025,l2,dish,kess,4,,nonword,607,23,3,nt025
,,,,,,,,,,,,,,,,,
6111,353,m,n,n,t062,n,p062,l2,moth,larb,4,,nonword,719,23,3,nt062
,,,,,,,,,,,,,,,,,
6112,354,s,n,n,t211,n,p211,l2,cabin,nid,3,,nonword,829,23,3,nt211
,,,,,,,,,,,,,,,,,
6113,355,s,u,s,t5,s,p15,l2,closet,pineapple,9,326,word,431,23,3,st5
,,,,,,,,,,,,,,,,,
6114,356,s,u,u,t114,u,p114,l2,intersection,year,4,161901,word,445,23,3,ut114
,,,,,,,,,,,,,,,,,
6115,357,s,u,u,t104,u,p104,l2,turntable,logic,5,2269,word,540,23,3,ut104
,,,,,,,,,,,,,,,,,
6116,358,s,n,n,t226,n,p226,l2,brick,tovest,6,,nonword,588,23,3,nt226
,,,,,,,,,,,,,,,,,
6117,359,s,n,n,t201,n,p201,l2,toad,staddant,8,,nonword,638,23,3,nt201
,,,,,,,,,,,,,,,,,
6118,360,s,n,n,t204,n,p204,l2,visitor,plobe,5,,nonword,577,23,3,nt204
,,,,,,,,,,,,,,,,,
6119,361,s,r,s,t17,s,p17,l2,slingshot,catapult,8,188,word,449,23,3,st17
,,,,,,,,,,,,,,,,,
6120,362,s,n,n,t257,n,p257,l2,fat,duffalo,7,,nonword,669,23,3,nt257
,,,,,,,,,,,,,,,,,
6121,363,s,n,n,t218,n,p218,l2,tent,jum,3,,nonword,668,23,3,nt218
,,,,,,,,,,,,,,,,,
6122,364,s,u,u,t128,u,p128,l2,factory,bread,5,3676,word,387,23,3,ut128
,,,,,,,,,,,,,,,,,
6123,365,s,n,n,t227,n,p227,l2,haircut,zale,4,,nonword,528,23,3,nt227
,,,,,,,,,,,,,,,,,
6124,366,s,r,s,t26,s,p26,l2,slippers,sandals,7,306,word,648,23,3,st26
,,,,,,,,,,,,,,,,,
6125,367,s,n,n,t258,n,p258,l2,rock,cailb,5,,nonword,704,23,3,nt258
,,,,,,,,,,,,,,,,,
6126,368,s,u,s,t15,s,p5,l2,coconut,dresser,7,318,word,497,23,3,st15
,,,,,,,,,,,,,,,,,
6127,369,s,u,u,t112,u,p112,l2,doctor,cruelty,7,789,word,735,23,3,ut112
,,,,,,,,,,,,,,,,,
6128,370,s,r,s,t32,s,p32,l2,wagon,cart,4,1137,word,638,23,3,st32
,,,,,,,,,,,,,,,,,
6129,371,s,r,s,t20,s,p20,l2,motorcycle,scooter,7,107,word,446,23,3,st20
,,,,,,,,,,,,,,,,,
6130,372,s,n,n,t239,n,p239,l2,cord,choll,5,,nonword,547,23,3,nt239
,,,,,,,,,,,,,,,,,
6131,373,s,r,s,t21,s,p21,l2,duck,chicken,7,2450,word,442,23,3,st21
,,,,,,,,,,,,,,,,,
6132,374,s,u,u,t115,u,p115,l2,backpack,time,4,182267,word,427,23,3,ut115
,,,,,,,,,,,,,,,,,
6133,375,s,u,u,t113,u,p113,l2,knife,influence,9,9275,word,741,23,3,ut113
,,,,,,,,,,,,,,,,,
6134,376,s,n,n,t221,n,p221,l2,stapler,stronth,7,,nonword,509,23,3,nt221
,,,,,,,,,,,,,,,,,
6135,377,s,n,n,t243,n,p243,l2,tour,snurrent,8,,nonword,555,23,3,nt243
,,,,,,,,,,,,,,,,,
6136,378,s,u,u,t129,u,p129,l2,chief,piety,5,246,nonword,629,23,3,ut129
,,,,,,,,,,,,,,,,,
6137,379,s,n,n,t203,n,p203,l2,planter,kindin,6,,nonword,583,23,3,nt203
,,,,,,,,,,,,,,,,,
6138,380,s,n,n,t253,n,p253,l2,garden,gwedink,7,,nonword,627,23,3,nt253
,,,,,,,,,,,,,,,,,
6139,381,s,r,s,t31,s,p31,l2,cannon,bazooka,7,23,nonword,606,23,3,st31
,,,,,,,,,,,,,,,,,
6140,382,s,n,n,t232,n,p232,l2,pole,gick,4,,nonword,638,23,3,nt232
,,,,,,,,,,,,,,,,,
6141,383,s,n,n,t233,n,p233,l2,pearl,boarse,6,,nonword,632,23,3,nt233
,,,,,,,,,,,,,,,,,
6142,384,s,n,n,t240,n,p240,l2,squid,drade,5,,nonword,710,23,3,nt240
,,,,,,,,,,,,,,,,,
6143,385,s,u,u,t117,u,p117,l2,restaurant,tractor,7,709,word,470,23,3,ut117
,,,,,,,,,,,,,,,,,
6144,386,s,n,n,t247,n,p247,l2,afternoon,pagging,7,,nonword,559,23,3,nt247
,,,,,,,,,,,,,,,,,
6145,387,s,n,n,t208,n,p208,l2,garage,dafe,4,,nonword,556,23,3,nt208
,,,,,,,,,,,,,,,,,
6146,388,s,r,s,t29,s,p29,l2,yacht,ship,4,6772,word,458,23,3,st29
,,,,,,,,,,,,,,,,,
6147,389,s,n,n,t219,n,p219,l2,route,hef,3,,nonword,573,23,3,nt219
,,,,,,,,,,,,,,,,,
6148,390,s,n,n,t234,n,p234,l2,refinery,stience,7,,word,462,23,3,nt234
,,,,,,,,,,,,,,,,,
6149,391,s,u,u,t111,u,p111,l2,telescope,emerald,7,175,word,556,23,3,ut111
,,,,,,,,,,,,,,,,,
6150,392,s,n,n,t231,n,p231,l2,bison,jelay,5,,nonword,572,23,3,nt231
,,,,,,,,,,,,,,,,,
6151,393,s,n,n,t207,n,p207,l2,booth,fruse,5,,nonword,547,23,3,nt207
,,,,,,,,,,,,,,,,,
6152,394,s,u,u,t106,u,p106,l2,princess,bypass,6,587,word,552,23,3,ut106
,,,,,,,,,,,,,,,,,
6153,395,s,u,u,t110,u,p110,l2,unrest,reflection,10,2430,word,445,23,3,ut110
,,,,,,,,,,,,,,,,,
6154,396,s,u,u,t121,u,p121,l2,hunter,baggage,7,460,word,401,23,3,ut121
,,,,,,,,,,,,,,,,,
6155,397,s,u,u,t134,u,p134,l2,chauffeur,sand,4,3356,word,433,23,3,ut134
,,,,,,,,,,,,,,,,,
6156,398,s,n,n,t215,n,p215,l2,apron,esduary,7,,nonword,529,23,3,nt215
,,,,,,,,,,,,,,,,,
6157,399,s,n,n,t216,n,p216,l2,tricycle,phammeze,8,,nonword,560,23,3,nt216
,,,,,,,,,,,,,,,,,
6158,400,s,u,u,t127,u,p127,l2,kitten,freedom,7,6292,word,381,23,3,ut127
,,,,,,,,,,,,,,,,,
6159,401,s,u,u,t119,u,p119,l2,boot,orphan,6,384,word,464,23,3,ut119
,,,,,,,,,,,,,,,,,
6160,402,s,u,u,t133,u,p133,l2,nightmare,direction,9,10662,word,980,23,3,ut133
,,,,,,,,,,,,,,,,,
6161,403,s,n,n,t217,n,p217,l2,tulip,pregator,8,,nonword,989,23,3,nt217
,,,,,,,,,,,,,,,,,
6162,404,s,n,n,t199,n,p199,l2,field,halbe,5,,nonword,632,23,3,nt199
,,,,,,,,,,,,,,,,,
6163,405,s,u,s,t1,s,p3,l2,finch,jar,3,1003,word,544,23,3,st1
,,,,,,,,,,,,,,,,,
6164,406,s,u,s,t12,s,p8,l2,tie,bomb,4,3795,word,368,23,3,st12
,,,,,,,,,,,,,,,,,
6165,407,s,r,s,t30,s,p30,l2,cushion,pillow,6,1033,word,584,23,3,st30
,,,,,,,,,,,,,,,,,
6166,408,s,n,n,t200,n,p200,l2,sandbox,farde,5,,nonword,559,23,3,nt200
,,,,,,,,,,,,,,,,,
6167,409,s,u,u,t109,u,p109,l2,trench,zipper,6,68,word,622,23,3,ut109
,,,,,,,,,,,,,,,,,
6168,410,s,u,u,t131,u,p131,l2,clock,hatred,6,1034,word,416,23,3,ut131
,,,,,,,,,,,,,,,,,
6169,411,s,n,n,t248,n,p248,l2,rocket,drinemony,9,,nonword,596,23,3,nt248
,,,,,,,,,,,,,,,,,
6170,412,s,n,n,t242,n,p242,l2,bracelet,jepair,6,,nonword,604,23,3,nt242
,,,,,,,,,,,,,,,,,
6171,413,s,n,n,t236,n,p236,l2,chain,moblin,6,,nonword,778,23,3,nt236
,,,,,,,,,,,,,,,,,
6172,414,s,n,n,t206,n,p206,l2,candy,plick,5,,nonword,655,23,3,nt206
,,,,,,,,,,,,,,,,,
6173,415,s,u,s,t2,s,p16,l2,lamp,dolphin,7,1602,word,421,23,3,st2
,,,,,,,,,,,,,,,,,
6174,416,s,n,n,t198,n,p198,l2,maze,sortune,7,,nonword,537,23,3,nt198
,,,,,,,,,,,,,,,,,
6175,417,s,u,u,t124,u,p124,l2,turtle,envy,4,489,word,679,23,3,ut124
,,,,,,,,,,,,,,,,,
6176,418,s,n,n,t241,n,p241,l2,skunk,baint,5,,word,459,23,3,nt241
,,,,,,,,,,,,,,,,,
6177,419,s,n,n,t238,n,p238,l2,balloon,yoops,5,,nonword,784,23,3,nt238
,,,,,,,,,,,,,,,,,
6178,420,s,u,s,t3,s,p1,l2,bottle,canary,6,287,word,390,23,3,st3
,,,,,,,,,,,,,,,,,
6179,421,s,u,s,t11,s,p10,l2,canoe,spear,5,519,word,733,23,3,st11
,,,,,,,,,,,,,,,,,
6180,422,s,u,u,t116,u,p116,l2,plan,bounty,6,203,word,467,23,3,ut116
,,,,,,,,,,,,,,,,,
6181,423,s,n,n,t205,n,p205,l2,indifference,appistence,10,,word,830,23,3,nt205
,,,,,,,,,,,,,,,,,
6182,424,s,r,s,t19,s,p19,l2,axe,tomahawk,8,36,word,631,23,3,st19
,,,,,,,,,,,,,,,,,
6183,425,s,u,s,t16,s,p4,l2,peas,chandelier,10,200,word,567,23,3,st16
,,,,,,,,,,,,,,,,,
6184,426,s,n,n,t229,n,p229,l2,shield,polait,6,,nonword,610,23,3,nt229
,,,,,,,,,,,,,,,,,
6185,427,s,u,u,t120,u,p120,l2,keyhole,gangster,8,236,word,671,23,3,ut120
,,,,,,,,,,,,,,,,,
6186,428,s,r,s,t28,s,p28,l2,mat,carpet,6,3186,word,447,23,3,st28
,,,,,,,,,,,,,,,,,
6187,429,s,n,n,t246,n,p246,l2,brain,olicy,5,,nonword,582,23,3,nt246
,,,,,,,,,,,,,,,,,
6188,430,s,n,n,t252,n,p252,l2,oak,chanke,6,,nonword,716,23,3,nt252
,,,,,,,,,,,,,,,,,
6189,431,s,r,s,t24,s,p24,l2,file,sandpaper,9,56,word,509,23,3,st24
,,,,,,,,,,,,,,,,,
6190,432,s,u,u,t118,u,p118,l2,conquest,discrepancy,11,651,word,470,23,3,ut118
,,,,,,,,,,,,,,,,,
6191,433,s,n,n,t220,n,p220,l2,bedroom,weem,4,,nonword,565,23,3,nt220
,,,,,,,,,,,,,,,,,
6192,434,s,n,n,t250,n,p250,l2,cork,neletrone,9,,nonword,576,23,3,nt250
,,,,,,,,,,,,,,,,,
6193,435,s,u,s,t8,s,p12,l2,missile,belt,4,2583,word,418,23,3,st8
,,,,,,,,,,,,,,,,,
6194,436,s,n,n,t212,n,p212,l2,trophy,noker,5,,nonword,529,23,3,nt212
,,,,,,,,,,,,,,,,,
6195,437,s,u,u,t108,u,p108,l2,classroom,post,4,11066,word,386,23,3,ut108
,,,,,,,,,,,,,,,,,
6196,438,s,n,n,t224,n,p224,l2,pot,moax,4,,nonword,543,23,3,nt224
,,,,,,,,,,,,,,,,,
6197,439,s,u,s,t14,s,p6,l2,plum,toaster,7,96,word,361,23,3,st14
,,,,,,,,,,,,,,,,,
6198,440,s,r,s,t22,s,p22,l2,pumpkin,squash,6,547,word,555,23,3,st22
,,,,,,,,,,,,,,,,,
6199,441,s,n,n,t237,n,p237,l2,lily,bloraq,6,,nonword,486,23,3,nt237
,,,,,,,,,,,,,,,,,
6200,442,s,n,n,t235,n,p235,l2,porch,weafe,5,,nonword,594,23,3,nt235
,,,,,,,,,,,,,,,,,
6201,443,s,n,n,t228,n,p228,l2,connector,ibstin,6,,nonword,476,23,3,nt228
,,,,,,,,,,,,,,,,,
6202,444,s,n,n,t223,n,p223,l2,sacrifice,bliskering,10,,nonword,995,23,3,nt223
,,,,,,,,,,,,,,,,,
6203,445,s,n,n,t213,n,p213,l2,peg,onterval,8,,nonword,740,23,3,nt213
,,,,,,,,,,,,,,,,,
6204,446,s,u,u,t125,u,p125,l2,foundation,happiness,9,1624,word,421,23,3,ut125
,,,,,,,,,,,,,,,,,
6205,447,s,n,n,t197,n,p197,l2,padlock,binter,6,,nonword,982,23,3,nt197
,,,,,,,,,,,,,,,,,
6206,448,s,u,s,t7,s,p13,l2,bus,shovel,6,255,word,505,23,3,st7
,,,,,,,,,,,,,,,,,
6207,449,s,n,n,t210,n,p210,l2,test,geart,5,,nonword,552,23,3,nt210
,,,,,,,,,,,,,,,,,
6208,450,s,n,n,t202,n,p202,l2,steel,letler,6,,nonword,683,23,3,nt202
,,,,,,,,,,,,,,,,,
6209,451,s,n,n,t230,n,p230,l2,chimp,lourth,6,,nonword,469,23,3,nt230
,,,,,,,,,,,,,,,,,
6210,452,s,u,u,t123,u,p123,l2,valley,adjustment,10,2109,word,460,23,3,ut123
,,,,,,,,,,,,,,,,,
6211,453,s,u,u,t103,u,p103,l2,migration,directive,9,2288,word,465,23,3,ut103
,,,,,,,,,,,,,,,,,
6212,454,s,n,n,t249,n,p249,l2,acorn,kround,6,,nonword,505,23,3,nt249
,,,,,,,,,,,,,,,,,
6213,455,s,n,n,t222,n,p222,l2,mace,desbiny,7,,nonword,499,23,3,nt222
,,,,,,,,,,,,,,,,,
6214,456,s,n,n,t209,n,p209,l2,satin,camind,6,,nonword,878,23,3,nt209
,,,,,,,,,,,,,,,,,
6215,457,s,r,s,t23,s,p23,l2,radish,beets,5,128,word,490,23,3,st23
,,,,,,,,,,,,,,,,,
6216,458,s,n,n,t254,n,p254,l2,snail,siale,5,,nonword,545,23,3,nt254
,,,,,,,,,,,,,,,,,
6217,459,s,n,n,t245,n,p245,l2,mixer,frast,5,,nonword,541,23,3,nt245
,,,,,,,,,,,,,,,,,
6218,460,s,n,n,t259,n,p259,l2,robe,chistribution,13,,nonword,691,23,3,nt259
,,,,,,,,,,,,,,,,,
6219,461,s,r,s,t27,s,p27,l2,bra,camisole,8,29,nonword,570,23,3,st27
,,,,,,,,,,,,,,,,,
6220,462,s,n,n,t251,n,p251,l2,library,weast,5,,nonword,522,23,3,nt251
,,,,,,,,,,,,,,,,,
6221,463,s,u,s,t9,s,p11,l2,sword,pencil,6,1370,word,547,23,3,st9
,,,,,,,,,,,,,,,,,
6222,464,s,u,u,t105,u,p105,l2,publicity,prejudice,9,1527,word,837,23,3,ut105
,,,,,,,,,,,,,,,,,
6223,465,s,u,s,t10,s,p9,l2,crayon,raft,4,395,word,619,23,3,st10
,,,,,,,,,,,,,,,,,
6224,466,s,n,n,t214,n,p214,l2,accordion,gloudburst,10,,nonword,565,23,3,nt214
,,,,,,,,,,,,,,,,,
6225,467,s,n,n,t225,n,p225,l2,toy,belf,4,,nonword,519,23,3,nt225
,,,,,,,,,,,,,,,,,
6226,468,s,n,n,t256,n,p256,l2,box,pheeze,6,,nonword,575,23,3,nt256
,,,,,,,,,,,,,,,,,
6227,469,s,n,n,t244,n,p244,l2,recommendation,blurvival,9,,nonword,566,23,3,nt244
,,,,,,,,,,,,,,,,,
6228,470,s,u,u,t130,u,p130,l2,sea,president,9,17036,word,637,23,3,ut130
,,,,,,,,,,,,,,,,,
6229,471,s,u,s,t13,s,p7,l2,hoe,subway,6,161,word,489,23,3,st13
,,,,,,,,,,,,,,,,,
6230,472,s,n,n,t255,n,p255,l2,firewood,fammer,6,,nonword,708,23,3,nt255
,,,,,,,,,,,,,,,,,
6231,473,s,n,n,t196,n,p196,l2,rabbit,fross,5,,nonword,850,23,3,nt196
,,,,,,,,,,,,,,,,,
6232,474,s,r,s,t18,s,p18,l2,eagle,hawk,4,548,word,429,23,3,st18
,,,,,,,,,,,,,,,,,
6233,475,s,u,u,t122,u,p122,l2,warehouse,misery,6,1288,word,590,23,3,ut122
,,,,,,,,,,,,,,,,,
6234,476,s,u,s,t6,s,p14,l2,microwave,prune,5,260,word,704,23,3,st6
,,,,,,,,,,,,,,,,,
6235,477,s,u,u,t126,u,p126,l2,bout,appeal,6,10638,word,521,23,3,ut126
,,,,,,,,,,,,,,,,,
6236,478,s,u,s,t4,s,p2,l2,whale,beans,5,1827,word,384,23,3,st4
,,,,,,,,,,,,,,,,,
6237,479,s,u,u,t132,u,p132,l2,tea,existence,9,6506,word,440,23,3,ut132
,,,,,,,,,,,,,,,,,
6238,480,s,r,s,t25,s,p25,l2,shed,barn,4,1560,word,508,23,3,st25
,,,,,,,,,,,,,,,,,
6239,481,s,u,u,t107,u,p107,l2,plague,urge,4,3871,word,817,23,3,ut107
,,,,,,,,,,,,,,,,,
6240,2,m,u,u,t060,u,p060,l2,parliament,satisfaction,12,2866,word,728,24,4,ut060
,,,,,,,,,,,,,,,,,
6241,3,m,r,m,p087,m,t087,l2,blacksmith,rod,3,1860,word,440,24,4,mp087
,,,,,,,,,,,,,,,,,
6242,4,m,n,n,t040,n,p040,l2,bayonet,kag,3,,nonword,504,24,4,nt040
,,,,,,,,,,,,,,,,,
6243,5,m,n,n,t088,n,p088,l2,ticket,loccert,7,,nonword,588,24,4,nt088
,,,,,,,,,,,,,,,,,
6244,6,m,u,u,t062,u,p062,l2,mall,harm,4,2255,word,571,24,4,ut062
,,,,,,,,,,,,,,,,,
6245,7,m,r,m,p050,m,t050,l2,assassin,pistol,6,895,word,492,24,4,mp050
,,,,,,,,,,,,,,,,,
6246,8,m,n,n,t133,n,p133,l2,fin,bleng,5,,nonword,631,24,4,nt133
,,,,,,,,,,,,,,,,,
6247,9,m,r,m,p048,m,t048,l2,speaker,group,5,60248,word,423,24,4,mp048
,,,,,,,,,,,,,,,,,
6248,10,m,u,m,p036,m,t035,l2,reader,spelling,8,1000,word,365,24,4,mp036
,,,,,,,,,,,,,,,,,
6249,11,m,u,u,t034,u,p034,l2,corral,elation,7,153,nonword,515,24,4,ut034
,,,,,,,,,,,,,,,,,
6250,12,m,n,n,t121,n,p121,l2,motorist,ondurance,9,,nonword,584,24,4,nt121
,,,,,,,,,,,,,,,,,
6251,13,m,n,n,t061,n,p061,l2,trolley,gaty,4,,nonword,559,24,4,nt061
,,,,,,,,,,,,,,,,,
6252,14,m,n,n,t125,n,p125,l2,pyramid,canbeen,7,,nonword,550,24,4,nt125
,,,,,,,,,,,,,,,,,
6253,15,m,u,m,p021,m,t020,l2,cook,cops,4,722,word,516,24,4,mp021
,,,,,,,,,,,,,,,,,
6254,16,m,u,m,p007,m,t006,l2,author,grandchildren,13,493,word,469,24,4,mp007
,,,,,,,,,,,,,,,,,
6255,17,m,n,n,t134,n,p134,l2,parka,tald,4,,nonword,569,24,4,nt134
,,,,,,,,,,,,,,,,,
6256,18,m,n,n,t136,n,p136,l2,buffet,moadey,6,,nonword,593,24,4,nt136
,,,,,,,,,,,,,,,,,
6257,19,m,u,m,p003,m,t002,l2,detective,witness,7,3246,word,495,24,4,mp003
,,,,,,,,,,,,,,,,,
6258,20,m,r,m,p081,m,t081,l2,driver,tire,4,317,word,561,24,4,mp081
,,,,,,,,,,,,,,,,,
6259,21,m,u,u,t073,u,p073,l2,layer,outcry,6,291,nonword,555,24,4,ut073
,,,,,,,,,,,,,,,,,
6260,22,m,r,m,p058,m,t058,l2,teenager,breasts,7,2755,word,658,24,4,mp058
,,,,,,,,,,,,,,,,,
6261,23,m,u,u,t061,u,p061,l2,clearance,adolescence,11,455,word,552,24,4,ut061
,,,,,,,,,,,,,,,,,
6262,24,m,n,n,t105,n,p105,l2,pudding,feech,5,,nonword,774,24,4,nt105
,,,,,,,,,,,,,,,,,
6263,25,m,n,n,t085,n,p085,l2,blender,yorman,6,,nonword,564,24,4,nt085
,,,,,,,,,,,,,,,,,
6264,26,m,u,m,p014,m,t013,l2,writer,building,8,22583,word,515,24,4,mp014
,,,,,,,,,,,,,,,,,
6265,27,m,n,n,t050,n,p050,l2,iguana,jottabe,7,,nonword,595,24,4,nt050
,,,,,,,,,,,,,,,,,
6266,28,m,n,n,t126,n,p126,l2,reach,traph,5,,nonword,785,24,4,nt126
,,,,,,,,,,,,,,,,,
6267,29,m,n,n,t074,n,p074,l2,eraser,faney,5,,nonword,728,24,4,nt074
,,,,,,,,,,,,,,,,,
6268,30,m,n,n,t091,n,p091,l2,screws,tearch,6,,nonword,762,24,4,nt091
,,,,,,,,,,,,,,,,,
6269,31,m,u,u,t096,u,p096,l2,crisis,silence,7,5235,word,569,24,4,ut096
,,,,,,,,,,,,,,,,,
6270,32,m,u,u,t084,u,p084,l2,park,speculation,11,1845,word,537,24,4,ut084
,,,,,,,,,,,,,,,,,
6271,33,m,n,n,t191,n,p191,l2,gingerbread,perometer,9,,nonword,698,24,4,nt191
,,,,,,,,,,,,,,,,,
6272,34,m,u,u,t016,u,p016,l2,accident,ambition,8,2287,word,545,24,4,ut016
,,,,,,,,,,,,,,,,,
6273,35,m,n,n,t037,n,p037,l2,rat,onnerval,8,,nonword,547,24,4,nt037
,,,,,,,,,,,,,,,,,
6274,36,m,n,n,t055,n,p055,l2,desk,eppirt,6,,word,627,24,4,nt055
,,,,,,,,,,,,,,,,,
6275,37,m,u,m,p002,m,t001,l2,attorney,dough,5,323,word,454,24,4,mp002
,,,,,,,,,,,,,,,,,
6276,38,m,u,m,p037,m,t036,l2,electrician,line,4,33159,word,691,24,4,mp037
,,,,,,,,,,,,,,,,,
6277,39,m,r,m,p063,m,t063,l2,boss,accountant,10,2172,word,679,24,4,mp063
,,,,,,,,,,,,,,,,,
6278,40,m,u,u,t048,u,p048,l2,parakeet,kidnapper,9,249,word,533,24,4,ut048
,,,,,,,,,,,,,,,,,
6279,41,m,n,n,t066,n,p066,l2,stick,zeef,4,,nonword,616,24,4,nt066
,,,,,,,,,,,,,,,,,
6280,42,m,u,u,t046,u,p046,l2,arcade,comedy,6,1525,word,871,24,4,ut046
,,,,,,,,,,,,,,,,,
6281,43,m,n,n,t172,n,p172,l2,lion,prutten,7,,nonword,532,24,4,nt172
,,,,,,,,,,,,,,,,,
6282,44,m,u,u,t030,u,p030,l2,tip,commission,10,11018,word,452,24,4,ut030
,,,,,,,,,,,,,,,,,
6283,45,m,u,m,p004,m,t003,l2,caterer,street,6,23549,word,489,24,4,mp004
,,,,,,,,,,,,,,,,,
6284,46,m,n,n,t118,n,p118,l2,gorilla,flutch,6,,nonword,746,24,4,nt118
,,,,,,,,,,,,,,,,,
6285,47,m,r,m,p069,m,t069,l2,chef,dinner,6,6277,word,422,24,4,mp069
,,,,,,,,,,,,,,,,,
6286,48,m,n,n,t071,n,p071,l2,stool,pighter,7,,nonword,750,24,4,nt071
