"subj" "subjNum" "expt" "order" "item" "itemNum" "verb" "attachment" "numorder" "cond" "pos" "text" "crit" "rt" "correct" "length" "words"
"8297" "subj14" 14 1 31 "item13" 13 "nonIC" "low" "pl" "nonIClow" 8 "repeatedly" "RC_VERB+1" 632.74 1 10 1
"8321" "subj14" 14 1 52 "item15" 15 "nonIC" "high" "pl" "nonIChigh" 8 "adamantly" "RC_VERB+1" 401.6 1 9 1
"8334" "subj14" 14 1 29 "item16" 16 "IC" "low" "pl" "IClow" 8 "nearly" "RC_VERB+1" 552.09 1 6 1
"8347" "subj14" 14 1 60 "item17" 17 "nonIC" "low" "pl" "nonIClow" 8 "generally" "RC_VERB+1" 385.82 1 9 1
"8359" "subj14" 14 1 19 "item18" 18 "IC" "high" "pl" "IChigh" 8 "lately" "RC_VERB+1" 520.16 1 6 1
"8371" "subj14" 14 1 58 "item19" 19 "nonIC" "high" "pl" "nonIChigh" 8 "constantly" "RC_VERB+1" 343.4 1 10 1
"8383" "subj14" 14 1 17 "item20" 20 "IC" "low" "pl" "IClow" 8 "continually" "RC_VERB+1" 895.33 1 11 1
"8787" "subj15" 15 1 39 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 523.81 1 9 1
"8800" "subj15" 15 1 17 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 487.27 1 10 1
"8825" "subj15" 15 1 28 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 410.75 1 12 1
"8837" "subj15" 15 1 35 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 384.15 1 12 1
"8874" "subj15" 15 1 41 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 1088.68 1 7 1
"8887" "subj15" 15 1 49 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 254.69 1 5 1
"8900" "subj15" 15 1 62 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 218.19 1 6 1
"8912" "subj15" 15 1 60 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 375.49 1 8 1
"8925" "subj15" 15 1 22 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 369.7 1 7 1
"8938" "subj15" 15 1 55 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 283.85 1 10 1
"8950" "subj15" 15 1 57 "item14" 14 "nonIC" "low" "pl" "nonIClow" 8 "perpetually" "RC_VERB+1" 622.02 1 11 1
"8962" "subj15" 15 1 25 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 894.36 1 9 1
"8975" "subj15" 15 1 33 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 264.58 1 6 1
"8988" "subj15" 15 1 20 "item17" 17 "IC" "low" "pl" "IClow" 8 "generally" "RC_VERB+1" 393.64 1 9 1
"9000" "subj15" 15 1 15 "item18" 18 "nonIC" "low" "pl" "nonIClow" 8 "lately" "RC_VERB+1" 337.51 1 6 1
"9012" "subj15" 15 1 30 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 223.87 1 10 1
"9428" "subj16" 16 1 49 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 680.19 1 9 1
"9441" "subj16" 16 1 32 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 622.46 1 10 1
"9454" "subj16" 16 1 63 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 756.61 1 9 1
"9466" "subj16" 16 1 44 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 843.7 1 12 1
"9478" "subj16" 16 1 60 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 548.84 1 12 1
"9490" "subj16" 16 1 40 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 644.02 1 6 1
"9503" "subj16" 16 1 15 "item7" 7 "nonIC" "low" "sg" "nonIClow" 8 "supposedly" "RC_VERB+1" 697.73 1 10 1
"9515" "subj16" 16 1 17 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 872.04 1 7 1
"9528" "subj16" 16 1 23 "item9" 9 "nonIC" "high" "sg" "nonIChigh" 8 "often" "RC_VERB+1" 497.02 1 5 1
"9566" "subj16" 16 1 20 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 701.66 1 7 1
"9579" "subj16" 16 1 29 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 699.86 1 10 1
"9616" "subj16" 16 1 58 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 729.05 1 6 1
"9653" "subj16" 16 1 26 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 505.84 1 10 1
"9665" "subj16" 16 1 47 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 598.8 1 11 1
"10069" "subj17" 17 1 26 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 424.39 1 9 1
"10082" "subj17" 17 1 60 "item2" 2 "nonIC" "high" "sg" "nonIChigh" 8 "definitely" "RC_VERB+1" 243.38 1 10 1
"10107" "subj17" 17 1 17 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 390.61 1 12 1
"10119" "subj17" 17 1 22 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 406.34 1 12 1
"10156" "subj17" 17 1 34 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 398.8 1 7 1
"10169" "subj17" 17 1 62 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 328.58 1 5 1
"10182" "subj17" 17 1 24 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 329.07 1 6 1
"10194" "subj17" 17 1 49 "item11" 11 "IC" "low" "pl" "IClow" 8 "recently" "RC_VERB+1" 332.22 1 8 1
"10207" "subj17" 17 1 43 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 802.61 1 7 1
"10220" "subj17" 17 1 28 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 351.79 1 10 1
"10232" "subj17" 17 1 55 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 592.42 1 11 1
"10257" "subj17" 17 1 46 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 352.71 1 6 1
"10270" "subj17" 17 1 41 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 451 1 9 1
"10294" "subj17" 17 1 57 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 416.16 1 10 1
"10306" "subj17" 17 1 39 "item20" 20 "nonIC" "low" "pl" "nonIClow" 8 "continually" "RC_VERB+1" 373.53 1 11 1
"10710" "subj18" 18 1 19 "item1" 1 "nonIC" "low" "sg" "nonIClow" 8 "routinely" "RC_VERB+1" 578.31 1 9 1
"10723" "subj18" 18 1 34 "item2" 2 "IC" "high" "sg" "IChigh" 8 "definitely" "RC_VERB+1" 534 1 10 1
"10736" "subj18" 18 1 37 "item3" 3 "nonIC" "high" "sg" "nonIChigh" 8 "regularly" "RC_VERB+1" 459.25 1 9 1
"10748" "subj18" 18 1 17 "item4" 4 "IC" "low" "sg" "IClow" 8 "consistently" "RC_VERB+1" 917.79 1 12 1
"10760" "subj18" 18 1 49 "item5" 5 "nonIC" "low" "sg" "nonIClow" 8 "occasionally" "RC_VERB+1" 526.64 1 12 1
"10772" "subj18" 18 1 42 "item6" 6 "IC" "high" "sg" "IChigh" 8 "deeply" "RC_VERB+1" 489.52 1 6 1
"10785" "subj18" 18 1 44 "item7" 7 "nonIC" "high" "sg" "nonIChigh" 8 "supposedly" "RC_VERB+1" 783.7 1 10 1
"10797" "subj18" 18 1 15 "item8" 8 "IC" "low" "sg" "IClow" 8 "usually" "RC_VERB+1" 553.14 1 7 1
"10810" "subj18" 18 1 46 "item9" 9 "nonIC" "low" "sg" "nonIClow" 8 "often" "RC_VERB+1" 404.07 1 5 1
"10823" "subj18" 18 1 31 "item10" 10 "IC" "high" "sg" "IChigh" 8 "always" "RC_VERB+1" 551.54 1 6 1
"10835" "subj18" 18 1 53 "item11" 11 "nonIC" "high" "pl" "nonIChigh" 8 "recently" "RC_VERB+1" 594.3 1 8 1
"10848" "subj18" 18 1 56 "item12" 12 "IC" "low" "pl" "IClow" 8 "forever" "RC_VERB+1" 447.54 1 7 1
"10861" "subj18" 18 1 28 "item13" 13 "nonIC" "low" "pl" "nonIClow" 8 "repeatedly" "RC_VERB+1" 1128.93 1 10 1
"10885" "subj18" 18 1 59 "item15" 15 "nonIC" "high" "pl" "nonIChigh" 8 "adamantly" "RC_VERB+1" 827.96 1 9 1
"10898" "subj18" 18 1 26 "item16" 16 "IC" "low" "pl" "IClow" 8 "nearly" "RC_VERB+1" 505.52 1 6 1
"10911" "subj18" 18 1 23 "item17" 17 "nonIC" "low" "pl" "nonIClow" 8 "generally" "RC_VERB+1" 502.51 1 9 1
"10923" "subj18" 18 1 62 "item18" 18 "IC" "high" "pl" "IChigh" 8 "lately" "RC_VERB+1" 835.27 1 6 1
"10935" "subj18" 18 1 51 "item19" 19 "nonIC" "high" "pl" "nonIChigh" 8 "constantly" "RC_VERB+1" 625.89 1 10 1
"11351" "subj19" 19 1 60 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 490.31 1 9 1
"11364" "subj19" 19 1 48 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 459.17 1 10 1
"11377" "subj19" 19 1 32 "item3" 3 "IC" "high" "sg" "IChigh" 8 "regularly" "RC_VERB+1" 409.31 1 9 1
"11389" "subj19" 19 1 54 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 680.35 1 12 1
"11401" "subj19" 19 1 56 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 504.5 1 12 1
"11426" "subj19" 19 1 18 "item7" 7 "IC" "high" "sg" "IChigh" 8 "supposedly" "RC_VERB+1" 768.95 1 10 1
"11438" "subj19" 19 1 15 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 734.89 1 7 1
"11451" "subj19" 19 1 62 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 522.56 1 5 1
"11464" "subj19" 19 1 26 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 327.05 1 6 1
"11476" "subj19" 19 1 24 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 297.06 1 8 1
"11489" "subj19" 19 1 45 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 427.34 1 7 1
"11502" "subj19" 19 1 39 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 242.33 1 10 1
"11526" "subj19" 19 1 29 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 613.55 1 9 1
"11539" "subj19" 19 1 41 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 242.8 1 6 1
"11552" "subj19" 19 1 35 "item17" 17 "IC" "low" "pl" "IClow" 8 "generally" "RC_VERB+1" 403.23 1 9 1
"11564" "subj19" 19 1 43 "item18" 18 "nonIC" "low" "pl" "nonIClow" 8 "lately" "RC_VERB+1" 251.2 1 6 1
"11576" "subj19" 19 1 21 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 562.07 1 10 1
"11992" "subj20" 20 1 36 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 381.82 1 9 1
"12005" "subj20" 20 1 42 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 413.11 1 10 1
"12018" "subj20" 20 1 52 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 216.95 1 9 1
"12030" "subj20" 20 1 17 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 680.54 1 12 1
"12042" "subj20" 20 1 20 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 433.81 1 12 1
"12054" "subj20" 20 1 47 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 297.42 1 6 1
"12067" "subj20" 20 1 32 "item7" 7 "nonIC" "low" "sg" "nonIClow" 8 "supposedly" "RC_VERB+1" 422.05 1 10 1
"12079" "subj20" 20 1 56 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 327.99 1 7 1
"12092" "subj20" 20 1 39 "item9" 9 "nonIC" "high" "sg" "nonIChigh" 8 "often" "RC_VERB+1" 260 1 5 1
"12105" "subj20" 20 1 27 "item10" 10 "IC" "low" "sg" "IClow" 8 "always" "RC_VERB+1" 425.9 1 6 1
"12117" "subj20" 20 1 25 "item11" 11 "nonIC" "low" "pl" "nonIClow" 8 "recently" "RC_VERB+1" 330 1 8 1
"12130" "subj20" 20 1 59 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 419.73 1 7 1
"12143" "subj20" 20 1 62 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 479.17 1 10 1
"12167" "subj20" 20 1 34 "item15" 15 "nonIC" "low" "pl" "nonIClow" 8 "adamantly" "RC_VERB+1" 331.27 1 9 1
"12180" "subj20" 20 1 15 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 355.26 1 6 1
"12193" "subj20" 20 1 49 "item17" 17 "nonIC" "high" "pl" "nonIChigh" 8 "generally" "RC_VERB+1" 1808.82 1 9 1
"12205" "subj20" 20 1 45 "item18" 18 "IC" "low" "pl" "IClow" 8 "lately" "RC_VERB+1" 422.6 1 6 1
"12217" "subj20" 20 1 29 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 279.49 1 10 1
"12229" "subj20" 20 1 54 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 304.09 1 11 1
"12633" "subj21" 21 1 54 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 356.45 1 9 1
"12646" "subj21" 21 1 20 "item2" 2 "nonIC" "high" "sg" "nonIChigh" 8 "definitely" "RC_VERB+1" 573.63 1 10 1
"12671" "subj21" 21 1 22 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 464.97 1 12 1
"12683" "subj21" 21 1 26 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 467.67 1 12 1
"12733" "subj21" 21 1 56 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 321.02 1 5 1
"12746" "subj21" 21 1 52 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 311.69 1 6 1
"12758" "subj21" 21 1 28 "item11" 11 "IC" "low" "pl" "IClow" 8 "recently" "RC_VERB+1" 422.15 1 8 1
"12771" "subj21" 21 1 59 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 345.62 1 7 1
"12784" "subj21" 21 1 17 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 387.63 1 10 1
"12796" "subj21" 21 1 15 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 469.97 1 11 1
"12808" "subj21" 21 1 47 "item15" 15 "IC" "low" "pl" "IClow" 8 "adamantly" "RC_VERB+1" 422.7 1 9 1
"12821" "subj21" 21 1 38 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 395.39 1 6 1
"12834" "subj21" 21 1 34 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 430.65 1 9 1
"12846" "subj21" 21 1 36 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 435.77 1 6 1
"12858" "subj21" 21 1 44 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 416.11 1 10 1
"12870" "subj21" 21 1 24 "item20" 20 "nonIC" "low" "pl" "nonIClow" 8 "continually" "RC_VERB+1" 480.83 1 11 1
"13274" "subj22" 22 1 15 "item1" 1 "nonIC" "low" "sg" "nonIClow" 8 "routinely" "RC_VERB+1" 530.41 1 9 1
"13287" "subj22" 22 1 45 "item2" 2 "IC" "high" "sg" "IChigh" 8 "definitely" "RC_VERB+1" 474.41 1 10 1
"13324" "subj22" 22 1 48 "item5" 5 "nonIC" "low" "sg" "nonIClow" 8 "occasionally" "RC_VERB+1" 458.3 1 12 1
"13361" "subj22" 22 1 52 "item8" 8 "IC" "low" "sg" "IClow" 8 "usually" "RC_VERB+1" 298.14 1 7 1
"13374" "subj22" 22 1 57 "item9" 9 "nonIC" "low" "sg" "nonIClow" 8 "often" "RC_VERB+1" 216.26 1 5 1
"13387" "subj22" 22 1 54 "item10" 10 "IC" "high" "sg" "IChigh" 8 "always" "RC_VERB+1" 194.02 1 6 1
"13399" "subj22" 22 1 62 "item11" 11 "nonIC" "high" "pl" "nonIChigh" 8 "recently" "RC_VERB+1" 292.45 1 8 1
"13425" "subj22" 22 1 17 "item13" 13 "nonIC" "low" "pl" "nonIClow" 8 "repeatedly" "RC_VERB+1" 359.88 1 10 1
"13449" "subj22" 22 1 27 "item15" 15 "nonIC" "high" "pl" "nonIChigh" 8 "adamantly" "RC_VERB+1" 655.76 1 9 1
"13462" "subj22" 22 1 60 "item16" 16 "IC" "low" "pl" "IClow" 8 "nearly" "RC_VERB+1" 269.48 1 6 1
"13475" "subj22" 22 1 32 "item17" 17 "nonIC" "low" "pl" "nonIClow" 8 "generally" "RC_VERB+1" 442.08 1 9 1
"13487" "subj22" 22 1 42 "item18" 18 "IC" "high" "pl" "IChigh" 8 "lately" "RC_VERB+1" 203.14 1 6 1
"13499" "subj22" 22 1 20 "item19" 19 "nonIC" "high" "pl" "nonIChigh" 8 "constantly" "RC_VERB+1" 411.07 1 10 1
"13511" "subj22" 22 1 25 "item20" 20 "IC" "low" "pl" "IClow" 8 "continually" "RC_VERB+1" 622.67 1 11 1
"13915" "subj23" 23 1 39 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 520.48 1 9 1
"13928" "subj23" 23 1 49 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 797.59 1 10 1
"13953" "subj23" 23 1 59 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 466.06 1 12 1
"13965" "subj23" 23 1 63 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 385.52 1 12 1
"13977" "subj23" 23 1 18 "item6" 6 "nonIC" "low" "sg" "nonIClow" 8 "deeply" "RC_VERB+1" 403.93 1 6 1
"14002" "subj23" 23 1 23 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 257.96 1 7 1
"14015" "subj23" 23 1 20 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 371.39 1 5 1
"14028" "subj23" 23 1 52 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 353.73 1 6 1
"14040" "subj23" 23 1 57 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 383.71 1 8 1
"14053" "subj23" 23 1 31 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 483.43 1 7 1
"14066" "subj23" 23 1 41 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 474.59 1 10 1
"14078" "subj23" 23 1 46 "item14" 14 "nonIC" "low" "pl" "nonIClow" 8 "perpetually" "RC_VERB+1" 500.16 1 11 1
"14090" "subj23" 23 1 15 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 373.76 1 9 1
"14103" "subj23" 23 1 61 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 417.75 1 6 1
"14116" "subj23" 23 1 55 "item17" 17 "IC" "low" "pl" "IClow" 8 "generally" "RC_VERB+1" 272.24 1 9 1
"14128" "subj23" 23 1 26 "item18" 18 "nonIC" "low" "pl" "nonIClow" 8 "lately" "RC_VERB+1" 427.14 1 6 1
"14140" "subj23" 23 1 28 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 442.7 1 10 1
"14556" "subj24" 24 1 51 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 237.11 1 9 1
"14569" "subj24" 24 1 21 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 432.48 1 10 1
"14582" "subj24" 24 1 15 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 373.65 1 9 1
"14594" "subj24" 24 1 39 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 216.84 1 12 1
"14606" "subj24" 24 1 45 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 226.36 1 12 1
"14618" "subj24" 24 1 54 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 198.24 1 6 1
"14631" "subj24" 24 1 17 "item7" 7 "nonIC" "low" "sg" "nonIClow" 8 "supposedly" "RC_VERB+1" 314.64 1 10 1
"14643" "subj24" 24 1 31 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 307.05 1 7 1
"14656" "subj24" 24 1 56 "item9" 9 "nonIC" "high" "sg" "nonIChigh" 8 "often" "RC_VERB+1" 226.7 1 5 1
"14669" "subj24" 24 1 24 "item10" 10 "IC" "low" "sg" "IClow" 8 "always" "RC_VERB+1" 297.82 1 6 1
"14681" "subj24" 24 1 19 "item11" 11 "nonIC" "low" "pl" "nonIClow" 8 "recently" "RC_VERB+1" 298.8 1 8 1
"14694" "subj24" 24 1 48 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 253.62 1 7 1
"14707" "subj24" 24 1 42 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 353.54 1 10 1
"14719" "subj24" 24 1 63 "item14" 14 "IC" "low" "pl" "IClow" 8 "perpetually" "RC_VERB+1" 391.16 1 11 1
"14731" "subj24" 24 1 37 "item15" 15 "nonIC" "low" "pl" "nonIClow" 8 "adamantly" "RC_VERB+1" 236.12 1 9 1
"14744" "subj24" 24 1 61 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 151.96 1 6 1
"14757" "subj24" 24 1 28 "item17" 17 "nonIC" "high" "pl" "nonIChigh" 8 "generally" "RC_VERB+1" 233.77 1 9 1
"14769" "subj24" 24 1 59 "item18" 18 "IC" "low" "pl" "IClow" 8 "lately" "RC_VERB+1" 210.81 1 6 1
"14781" "subj24" 24 1 34 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 238.74 1 10 1
"14793" "subj24" 24 1 26 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 297.79 1 11 1
"15197" "subj25" 25 1 39 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 383.62 1 9 1
"15210" "subj25" 25 1 63 "item2" 2 "nonIC" "high" "sg" "nonIChigh" 8 "definitely" "RC_VERB+1" 408.53 1 10 1
"15223" "subj25" 25 1 53 "item3" 3 "IC" "low" "sg" "IClow" 8 "regularly" "RC_VERB+1" 345.95 1 9 1
"15235" "subj25" 25 1 18 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 523.3 1 12 1
"15247" "subj25" 25 1 23 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 739.94 1 12 1
"15259" "subj25" 25 1 61 "item6" 6 "nonIC" "high" "sg" "nonIChigh" 8 "deeply" "RC_VERB+1" 343.71 1 6 1
"15284" "subj25" 25 1 33 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 579.07 1 7 1
"15297" "subj25" 25 1 58 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 316.48 1 5 1
"15310" "subj25" 25 1 28 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 895.53 1 6 1
"15322" "subj25" 25 1 48 "item11" 11 "IC" "low" "pl" "IClow" 8 "recently" "RC_VERB+1" 519.1 1 8 1
"15335" "subj25" 25 1 15 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 399.97 1 7 1
"15348" "subj25" 25 1 25 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 455.31 1 10 1
"15360" "subj25" 25 1 56 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 332.13 1 11 1
"15372" "subj25" 25 1 20 "item15" 15 "IC" "low" "pl" "IClow" 8 "adamantly" "RC_VERB+1" 843.92 1 9 1
"15385" "subj25" 25 1 36 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 463.89 1 6 1
"15398" "subj25" 25 1 51 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 337.65 1 9 1
"15410" "subj25" 25 1 46 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 899.98 1 6 1
"15422" "subj25" 25 1 30 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 579.43 1 10 1
"15838" "subj26" 26 1 49 "item1" 1 "nonIC" "low" "sg" "nonIClow" 8 "routinely" "RC_VERB+1" 663.93 1 9 1
"15851" "subj26" 26 1 51 "item2" 2 "IC" "high" "sg" "IChigh" 8 "definitely" "RC_VERB+1" 1155.43 1 10 1
"15864" "subj26" 26 1 36 "item3" 3 "nonIC" "high" "sg" "nonIChigh" 8 "regularly" "RC_VERB+1" 687.92 1 9 1
"15876" "subj26" 26 1 60 "item4" 4 "IC" "low" "sg" "IClow" 8 "consistently" "RC_VERB+1" 466.47 1 12 1
"15888" "subj26" 26 1 47 "item5" 5 "nonIC" "low" "sg" "nonIClow" 8 "occasionally" "RC_VERB+1" 1241.66 1 12 1
"15900" "subj26" 26 1 42 "item6" 6 "IC" "high" "sg" "IChigh" 8 "deeply" "RC_VERB+1" 561.73 1 6 1
"15913" "subj26" 26 1 25 "item7" 7 "nonIC" "high" "sg" "nonIChigh" 8 "supposedly" "RC_VERB+1" 647.39 1 10 1
